DataSize,NodeCount,Trial,Method,F1_TKDE,Sensitivity_TKDE,Precision_TKDE,Specificity_TKDE,SHD_FPFN,SHD_Rev1,TP,FP,FN,TN,ReversedEdges,Score,Iterations,EdgeCount
1499,31,1,AdaCSE,0.135593220338983,0.142857142857143,0.129032258064516,0.939051918735892,51,45,4,27,24,416,6,-41877.9553253299,200,31
1499,31,1,PSX,0.2,0.214285714285714,0.1875,0.940909090909091,48,45,6,26,22,414,3,-42621.1833497563,200,32
1499,31,1,EKGA-std,0.114285714285714,0.142857142857143,0.0952380952380952,0.914027149321267,62,57,4,38,24,404,5,-42745.9810388543,100,42
1499,31,1,AESL-GA,0.129032258064516,0.142857142857143,0.117647058823529,0.932126696832579,54,49,4,30,24,412,5,-42134.8461175823,200,34
1499,31,1,hybrid-SLA,0.0666666666666667,0.0714285714285714,0.0625,0.932584269662921,56,48,2,30,26,415,8,-41903.2754718655,200,32
1499,31,1,MIGA,0.0645161290322581,0.0714285714285714,0.0588235294117647,0.928089887640449,58,50,2,32,26,413,8,-41979.388256034,200,34
1499,31,1,MAGA,0.09375,0.107142857142857,0.0833333333333333,0.925675675675676,58,51,3,33,25,411,7,-42243.9413629646,200,36
1499,31,2,AdaCSE,0.137931034482759,0.142857142857143,0.133333333333333,0.941176470588235,50,45,4,26,24,416,5,-41911.6966856312,200,30
1499,31,2,PSX,0.2,0.214285714285714,0.1875,0.940774487471526,48,46,6,26,22,413,2,-42477.0361019291,200,32
1499,31,2,EKGA-std,0.0606060606060606,0.0714285714285714,0.0526315789473684,0.919101123595506,62,54,2,36,26,409,8,-42498.6758677809,100,38
1499,31,2,AESL-GA,0.0689655172413793,0.0714285714285714,0.0666666666666667,0.936651583710407,54,49,2,28,26,414,5,-42260.1313584213,200,30
1499,31,2,hybrid-SLA,0.2,0.214285714285714,0.1875,0.941043083900227,48,44,6,26,22,415,4,-41910.69045065,200,32
1499,31,2,MIGA,0.131147540983607,0.142857142857143,0.121212121212121,0.934537246049661,53,47,4,29,24,414,6,-41917.1893453035,200,33
1499,31,2,MAGA,0.1,0.107142857142857,0.09375,0.934389140271493,54,49,3,29,25,413,5,-42068.3783212994,200,32
1499,31,3,AdaCSE,0.131147540983607,0.142857142857143,0.121212121212121,0.934537246049661,53,47,4,29,24,414,6,-41900.4571366001,200,33
1499,31,3,PSX,0.0952380952380952,0.107142857142857,0.0857142857142857,0.927601809954751,57,52,3,32,25,410,5,-42467.7078528489,200,35
1499,31,3,EKGA-std,0.114285714285714,0.142857142857143,0.0952380952380952,0.914606741573034,62,54,4,38,24,407,8,-42729.0033292533,100,42
1499,31,3,AESL-GA,0.142857142857143,0.142857142857143,0.142857142857143,0.945701357466063,48,43,4,24,24,418,5,-42096.6778275745,200,28
1499,31,3,hybrid-SLA,0.0666666666666667,0.0714285714285714,0.0625,0.932584269662921,56,48,2,30,26,415,8,-41892.2368639957,200,32
