Intervention,Method,Rank,Node,NodeId,EffectTVD,EffectMeanShift,ReferenceRank,ReferenceEffectTVD,MethodRank,IsDescendantInMethod,Spearman,Kendall,NDCG_at_5
X1,AdaCSE,1,X25,25,0.639782232688358,0.972000970312575,1,0.610611212066713,1,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,2,X26,26,0.203537467890163,0.398033661625208,12,6.32754551532777e-08,2,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,3,X4,4,0.109253570409586,0.217869789926373,14,2.0781289217231e-08,3,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,4,X10,10,0.103204470007527,0.200102022537504,28,5.55111512312578e-17,4,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,5,X28,27,0.101603531771811,0.196440510247608,22,1.5640544415163e-12,5,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,6,X13,13,0.0653166562509791,0.117124834343196,18,2.97488617073682e-10,6,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,7,X7,7,0.0605192702723502,0.109653159053443,11,1.93876354276368e-07,7,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,8,X16,16,0.0597128630068295,0.109037423585102,25,2.76306755253586e-13,8,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,9,X23,23,0.0156338921355861,0.0281984660927148,5,0.0241395742803053,9,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,10,X24,24,0.0127122255657211,0.0240370358453563,2,0.0405671837754507,10,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,11,X20,20,0.0125027861862078,0.0246252347910412,30,0,11,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,12,X3,3,0.00898004257558763,0.0175039980460103,4,0.0286859336393597,12,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,13,X2,2,0.00894386533235245,0.0174323191147865,6,0.0108630086416883,13,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,14,X22,22,0.00598064281430302,0.0113045638074121,13,3.09196947489987e-08,14,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,15,X5,5,0.00437179386111264,0.00864934915147897,29,0,15,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,16,X6,6,0.00391659113046727,0.00752312106463915,3,0.0328748744129432,16,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,17,X11,11,0.00253674661870709,0.0050318855167335,17,2.04126446301522e-09,17,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,18,X18,18,0.00186650845324454,0.00337793380465623,23,9.16072773193832e-13,18,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,19,X21,21,0.000947808641007991,0.00173560513984494,8,0.000463876998960722,19,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,20,X9,9,0.000891919325484991,0.00172762424955897,10,1.4014527366657e-06,20,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,21,X32,30,0.000760665239881914,0.00143037848400906,7,0.00169461768999729,21,1,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,22,X29,28,0.000737311672905999,0.00139134771635652,20,6.80324963031609e-11,22,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,23,X14,14,0.000274190052876377,0.000537078146023884,19,1.89280729978591e-10,23,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,24,X12,12,0.000187706232327278,0.000337098987499118,15,1.40002664739125e-08,24,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,25,X30,29,0.000167789588500555,0.000321113755806124,26,5.33184607576231e-14,25,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,26,X15,15,2.79017460365905e-05,4.9782958854383e-05,21,6.49863496349212e-12,26,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,27,X17,17,2.46713520691277e-05,4.68275400433704e-05,24,3.67816888058314e-13,27,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,28,X8,8,0,0,9,1.51984855462084e-06,28,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,29,X19,19,0,0,27,1.77635683940025e-15,29,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,AdaCSE,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.198330561973382,0.159353773698687,0.905499331425467
X1,PSX,1,X25,25,0.640718489535,0.973533317815468,1,0.610611212066713,1,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,2,X26,26,0.209623409918302,0.402111581761142,12,6.32754551532777e-08,2,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,3,X4,4,0.111136549050621,0.219498802521406,14,2.0781289217231e-08,3,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,4,X10,10,0.103355803212613,0.200393772755128,28,5.55111512312578e-17,4,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,5,X28,27,0.101790077997464,0.196402649998944,22,1.5640544415163e-12,5,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,6,X7,7,0.0787516405186698,0.146777268668553,11,1.93876354276368e-07,6,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,7,X16,16,0.0757383513516715,0.142266573977743,25,2.76306755253586e-13,7,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,8,X20,20,0.0364907000970107,0.0706649130621058,30,0,8,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,9,X13,13,0.0283574827441621,0.0516065275560778,18,2.97488617073682e-10,9,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,10,X22,22,0.019265546116571,0.0359097754660682,13,3.09196947489987e-08,10,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,11,X3,3,0.0155576058386402,0.0277300734192312,4,0.0286859336393597,11,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,12,X23,23,0.013646033219716,0.0241724442139417,5,0.0241395742803053,12,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,13,X24,24,0.0133012728305813,0.0241082054172121,2,0.0405671837754507,13,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,14,X5,5,0.012540425637753,0.0250373985751455,29,0,14,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,15,X18,18,0.0119342445627733,0.0229697075786961,23,9.16072773193832e-13,15,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,16,X32,30,0.00868083304994481,0.0116196566441413,7,0.00169461768999729,16,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,17,X11,11,0.00799028356389148,0.0144958313888837,17,2.04126446301522e-09,17,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,18,X2,2,0.00783715259847934,0.0151642171758173,6,0.0108630086416883,18,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,19,X29,28,0.00563916759543992,0.011137248740043,20,6.80324963031609e-11,19,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,20,X9,9,0.00261991527746658,0.00495654709138593,10,1.4014527366657e-06,20,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,21,X14,14,0.00223683978683728,0.00431527060928927,19,1.89280729978591e-10,21,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,22,X15,15,0.00177462895376618,0.00293116958683926,21,6.49863496349212e-12,22,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,23,X6,6,0.00155868674862941,0.00304205188543083,3,0.0328748744129432,23,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,24,X21,21,0.000523310424300982,0.000325635663652069,8,0.000463876998960722,24,1,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,25,X12,12,7.96751014790487e-05,0.000151438329274001,15,1.40002664739125e-08,25,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,26,X30,29,5.55111512312578e-17,0,26,5.33184607576231e-14,26,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,27,X8,8,2.77555756156289e-17,0,9,1.51984855462084e-06,27,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,28,X17,17,0,0,24,3.67816888058314e-13,28,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,29,X19,19,0,0,27,1.77635683940025e-15,29,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,PSX,30,X33,31,0,0,16,2.08682082725176e-09,30,0,0.0830272722963764,0.071593724415352,0.905499331425467
X1,EKGA-std,1,X25,25,2.17539734544137e-05,2.1898542477139e-05,1,0.610611212066713,1,0,0.221183800623053,0.131336405529954,0.905499427459456
X1,EKGA-std,2,X26,26,3.20415515661643e-06,5.4382335743508e-06,12,6.32754551532777e-08,2,0,0.221183800623053,0.131336405529954,0.905499427459456
X1,EKGA-std,3,X13,13,2.16986269113706e-06,3.74760767929416e-06,18,2.97488617073682e-10,3,0,0.221183800623053,0.131336405529954,0.905499427459456
X1,EKGA-std,4,X16,16,1.98828332800827e-06,3.48104826075613e-06,25,2.76306755253586e-13,4,0,0.221183800623053,0.131336405529954,0.905499427459456
X1,EKGA-std,5,X7,7,1.95599481297992e-06,3.44786109751638e-06,11,1.93876354276368e-07,5,0,0.221183800623053,0.131336405529954,0.905499427459456
