Intervention,Method,Spearman,Kendall,NDCG_at_5,Top5
X1,AdaCSE,0.390689582605568,0.264199104039662,0.905499331614724,"X25(0.6397), X26(0.2032), X4(0.1092), X13(0.0656), X16(0.0632)"
X1,PSX,0.259340476358127,0.209495878601933,0.928893692018446,"X25(0.6400), X4(0.1270), X26(0.0692), X2(0.0000), X3(0.0000)"
X1,EKGA-std,0.144414775255897,0.122119815668203,0.0309366095032137,"X30(0.6484), X23(0.5212), X2(0.2819), X21(0.2248), X26(0.2087)"
X1,AESL-GA,0.455570204961926,0.31200781245649,0.92127711543235,"X25(0.6388), X32(0.1459), X21(0.0588), X11(0.0573), X23(0.0357)"
X1,hybrid-SLA,0.180077917661578,0.136259023887283,0.90549945524718,"X25(0.6398), X26(0.0006), X4(0.0003), X7(0.0002), X16(0.0001)"
X1,MIGA,0.126878137289369,0.103926374151317,0.905499442647571,"X25(0.0000), X26(0.0000), X4(0.0000), X16(0.0000), X7(0.0000)"
X1,MAGA,0.252198122015535,0.191686423434652,0.905499309148644,"X25(0.6407), X28(0.1056), X10(0.1035), X26(0.0006), X4(0.0003)"
X22,AdaCSE,-0.124908307580381,-0.0868380461003336,0.00231570248892921,"X20(0.0000), X29(0.0000), X32(0.0000), X5(0.0000), X9(0.0000)"
X22,PSX,0.284822906915383,0.164151994446537,0.000377304516673762,"X15(0.0623), X20(0.0002), X9(0.0001), X18(0.0001), X5(0.0001)"
X22,EKGA-std,0.0621035093047963,0.0438800246416674,0.0551452516443908,"X18(0.2534), X20(0.2516), X11(0.1899), X5(0.0823), X9(0.0593)"
X22,AESL-GA,-0.0411696300146096,-0.0274329052990568,0.0550932923200864,"X5(0.0000), X32(0.0000), X11(0.0000), X3(0.0000), X6(0.0000)"
X22,hybrid-SLA,0.061985273904043,0.0335370897650439,4.92553348157557e-05,"X18(0.0000), X20(0.0000), X1(0.0000), X5(0.0000), X6(0.0000)"
X22,MIGA,0.205706181989844,0.156376045035491,0.0101957818534089,"X14(0.0000), X20(0.0000), X16(0.0000), X18(0.0000), X4(0.0000)"
X22,MAGA,0.0338341699438317,0.0161663248679827,0.00147246041728499,"X18(0.2286), X20(0.2215), X32(0.1510), X9(0.1120), X29(0.0971)"
